Unnamed: 0,Language,Party,Post,Username,prediction
2436,pa,BJP,Politician,AshwaniSBJP,2
2564,pa,SAD,Politician,officeofssbadal,0
2692,pa,AAP,Political Leader,BhagwantMann,0
2675,pa,AAP,Political Leader,BhagwantMann,0
2547,pa,SAD,Politician,officeofssbadal,0
2419,pa,BJP,Politician,AshwaniSBJP,2
2291,other,AAP,Politician,AmitPalekar10,0
2546,pa,SAD,Politician,officeofssbadal,2
2674,pa,AAP,Political Leader,BhagwantMann,0
2677,pa,AAP,Political Leader,BhagwantMann,0
2549,pa,SAD,Politician,officeofssbadal,0
2421,pa,BJP,Politician,AshwaniSBJP,0
2293,en,AAP,Politician,AmitPalekar10,0
2698,pa,AAP,Political Leader,BhagwantMann,0
2304,gu,BJP,Politician,AmitShah,0
2432,pa,BJP,Politician,AshwaniSBJP,0
2682,pa,AAP,Political Leader,BhagwantMann,0
2554,pa,SAD,Politician,officeofssbadal,0
2426,pa,BJP,Politician,AshwaniSBJP,2
2560,pa,SAD,Politician,officeofssbadal,0
2298,gu,BJP,Politician,AmitShah,0
2301,gu,BJP,Politician,AmitShah,2
2429,pa,BJP,Politician,AshwaniSBJP,0
2300,gu,BJP,Politician,AmitShah,0
2305,gu,BJP,Politician,AmitShah,2
2684,pa,AAP,Political Leader,BhagwantMann,0
2556,pa,SAD,Politician,officeofssbadal,0
2433,pa,BJP,Politician,AshwaniSBJP,2
2428,pa,BJP,Politician,AshwaniSBJP,0
2561,pa,SAD,Politician,officeofssbadal,0
2557,pa,SAD,Politician,officeofssbadal,0
2689,pa,AAP,Political Leader,BhagwantMann,0
2685,pa,AAP,Political Leader,BhagwantMann,0
2688,pa,AAP,Political Leader,BhagwantMann,2
2563,pa,SAD,Politician,officeofssbadal,0
2691,pa,AAP,Political Leader,BhagwantMann,0
2681,pa,AAP,Political Leader,BhagwantMann,0
2553,pa,SAD,Politician,officeofssbadal,0
2425,pa,BJP,Politician,AshwaniSBJP,0
2297,gu,BJP,Politician,AmitShah,0
2296,gu,BJP,Politician,AmitShah,1
2424,pa,BJP,Politician,AshwaniSBJP,0
2683,pa,AAP,Political Leader,BhagwantMann,0
2555,pa,SAD,Politician,officeofssbadal,0
2427,pa,BJP,Politician,AshwaniSBJP,0
2299,gu,BJP,Politician,AmitShah,0
2552,pa,SAD,Politician,officeofssbadal,0
2307,pa,BJP,Politician,AmitShah,0
2680,pa,AAP,Political Leader,BhagwantMann,2
